time,open,high,low,close,ma5h,ma5l,ma10h,ma10l,ma50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,trend,trendbbl,trendbbm,trendbbmdir,trendbbu,extremeSellD,extremeBuyD,extremeSellA,extremeBuyA,extremeSellB,extremeBuyB,extremeSellAll,extremeBuyAll,extremeSell,extremeBuy,tpwSell,tpwBuy,MHVSell,MHVBuy,CSASell,CSABuy,CSAKSell,CSAKBuy,momentumSell,momentumBuy,reEntySell,reEntyBuy
2013-01-21,1.33174,1.33319,1.32998,1.33095,1.3349833333333334,1.32908,1.335948181818182,1.3285674545454547,,1.2992997014557186,1.322412,1.3455242985442812,3.4954762274210034,0.6847068560412118,0,0.00011114530314237925,0.0003612130555634696,0.0003612130555634696,0.0006028086079001849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-22,1.33096,1.33712,1.32668,1.33125,1.335586666666667,1.3285546666666666,1.3361965454545457,1.3285881818181817,,1.2994133099201106,1.322845,1.3462766900798895,3.54262065168473,0.6793511260037897,0,0.00019858353180102206,0.0006886450510386055,0.0006886450510386055,0.001161989543110531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-23,1.33127,1.33542,1.32655,1.33067,1.3353126666666668,1.3279173333333332,1.3359683636363637,1.3281701818181817,,1.299785609937592,1.3234035,1.347021390062408,3.569265165523289,0.6538346562880731,0,0.0003739521612458052,0.0011108411511107086,0.0011108411511107086,0.0011123361580600566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,1.33068,1.33925,1.32859,1.33674,1.336536,1.3279873333333332,1.3364567272727275,1.328091090909091,,1.300006239463362,1.324252,1.348497760536638,3.6618046318431783,0.7575295582320327,0,0.00045625694565276653,0.0013907779791617614,0.0013907779791617614,0.001649181228911667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-25,1.33674,1.34788,1.33497,1.34587,1.3406726666666666,1.3301466666666666,1.3384705454545456,1.3292881818181819,,1.2998079629178072,1.3256290000000002,1.3514500370821931,3.8956656926173103,0.8919478511953067,0,0.0003222627006915779,0.0021031782814668887,0.0021031782814668887,0.0032853337171703245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-27,1.34651,1.34709,1.34531,1.34647,1.343512,1.335465333333333,1.3402041818181818,1.3323396363636366,,1.302799789961331,1.3278310000000002,1.3528622100386694,3.7702403451446975,0.8723152011270255,0,0.002454265121472732,0.003342080422305438,0.003342080422305438,0.0032342393902144995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-28,1.34647,1.34765,1.34244,1.34469,1.3456113333333335,1.3388053333333332,1.3418985454545453,1.3345399999999998,,1.3056348821423307,1.3297265,1.3538181178576694,3.623544820332502,0.8105540708889424,0,0.004477898825062665,0.004128446540350605,0.004128446540350605,0.00175151348167768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-29,1.3447,1.34968,1.3414,1.34874,1.3476853333333334,1.340748,1.3436858181818179,1.3362459999999998,,1.3088126023336921,1.3318255,1.354838397666308,3.4558427761456714,0.8675004392159533,0,0.0046100039529803905,0.004667134336740153,0.004667134336740153,0.0014602131768164384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-30,1.34874,1.3587,1.34817,1.35682,1.3518153333333336,1.3439573333333332,1.346914,1.3389203636363636,,1.31040552195154,1.3340485,1.35769147804846,3.54454550167553,0.9815700448844945,0,0.0036509229027610335,0.004675173681796929,0.004675173681796929,0.00285947690317756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-31,1.3568,1.36165,1.35408,1.3611,1.355632,1.3478313333333332,1.3503349090909091,1.342303090909091,,1.3133606893291163,1.336691,1.3600213106708838,3.490756004324673,1.023117766075493,0,0.0034722271980787145,0.005228470221810166,0.005228470221810166,0.0038218706053902984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
