time,open,high,low,close
2014-01-28,1.36741,1.36885,1.3629,1.3654
2014-01-29,1.36538,1.36846,1.3603,1.36574
2014-01-30,1.36572,1.36624,1.35434,1.35574
2014-01-31,1.35575,1.35728,1.3479,1.34904
2014-02-02,1.34842,1.34912,1.34818,1.34873
2014-02-03,1.34873,1.35354,1.34772,1.35226
2014-02-04,1.35226,1.35385,1.34934,1.35159
2014-02-05,1.35156,1.35554,1.3499,1.35337
2014-02-06,1.35338,1.36188,1.3482,1.35917
2014-02-07,1.35916,1.36424,1.35519,1.36342
2014-02-09,1.36163,1.36269,1.3616,1.36186
2014-02-10,1.36185,1.36514,1.36184,1.36451
2014-02-11,1.36451,1.36829,1.36295,1.36366
2014-02-12,1.36366,1.36527,1.35623,1.35877
2014-02-13,1.35876,1.36918,1.35855,1.36759
2014-02-14,1.36759,1.37147,1.36736,1.36914
2014-02-16,1.37083,1.37097,1.3695,1.37041
2014-02-17,1.37041,1.3724,1.36921,1.37038
2014-02-18,1.37036,1.37704,1.36946,1.37603
2014-02-19,1.37603,1.37731,1.37244,1.37293
2014-02-20,1.37293,1.37625,1.36855,1.37205
2014-02-21,1.37205,1.37586,1.3702,1.37375
2014-02-23,1.37326,1.37414,1.37325,1.37375
2014-02-24,1.37376,1.3771,1.37084,1.37345
2014-02-25,1.37345,1.37671,1.37155,1.37458
2014-02-26,1.37457,1.37571,1.36617,1.36809
2014-02-27,1.36808,1.37268,1.36432,1.37061
2014-02-28,1.37064,1.38248,1.36941,1.38004
2014-03-02,1.37593,1.3788,1.37551,1.3774
2014-03-03,1.37741,1.37926,1.37263,1.37355
2014-03-04,1.37355,1.37815,1.37208,1.37419
2014-03-05,1.37415,1.37488,1.37075,1.37314
2014-03-06,1.37314,1.38729,1.37212,1.38633
2014-03-07,1.38633,1.3915,1.38521,1.38753
2014-03-09,1.38749,1.38796,1.38697,1.38771
2014-03-10,1.38772,1.38978,1.38616,1.38759
2014-03-11,1.3876,1.38766,1.38338,1.38563
2014-03-12,1.38563,1.39142,1.38433,1.39023
2014-03-13,1.39023,1.39667,1.38456,1.3865
2014-03-14,1.38649,1.39372,1.38476,1.39126
